BDRC Control,BDRC RID,BDRC IG,Record Number,Title,Author,Topic,Topic RID,Collection,Language,Script,Material,"Support (Manuscript, Pecha, book, etc.)",Creation Date (if known),Creation Date in Common Era,"Dimensions 1 (i.e. Length, etc. in cm)","Dimensions 2 (i.e. Height, etc. in cm)",Number of folios,Lines per leaf/folio,rKTs number (if applicable),Notes,Publisher,Publication Date,Publisher Location,Series,Volume
W1NPL198-I1NPL198,W1NPL198,I1NPL198,0023,Pūjāvidhi (vasuṁdharādevī),,Pūjāvidhi,T977,Yagya Ratna Shakya,Sanskrit/Nepal Bhasa,Pracalita,Thyāsaphū,Manuscript,,,19.1 cms,7.5 cms,21,"6,7",N/A,,,,,,
W1NPL82-I1NPL82,W1NPL82,I1NPL82,0082,Pūjāvidhi,,Pūjāvidhi,T977,Yagya Ratna Shakya,Sanskrit,Devanagari,Yellow Paper,Manuscript,,,15 cms,12.5 cms,11,16,N/A,,,,,,
W1NPL85-I1NPL85,W1NPL85,I1NPL85,0085,Pūjāvidhi,,Pūjāvidhi,T977,Yagya Ratna Shakya,Nepal Bhasa,Devanagari,Yellow Paper,Manuscript,,,14.5 cms,10.4 cms,7,6,N/A,,,,,,
W1NPL86-I1NPL86,W1NPL86,I1NPL86,0086,Pūjāvidhi,,Pūjāvidhi,T977,Yagya Ratna Shakya,Sanskrit,Pracalita,Thyāsaphū,Manuscript,,,18 cms,8.2 cms,8,6,N/A,,,,,,
W1NPL96-I1NPL96,W1NPL96,I1NPL96,0096,Pūjāvidhi,,Pūjāvidhi,T977,Yagya Ratna Shakya,Sanskrit,Pracalita,Bound Mss.,Manuscript,,,10cms,7cms,77,6,N/A,,,,,,
W1NPL97-I1NPL97,W1NPL97,I1NPL97,0097,Pūjāvidhi,,Pūjāvidhi,T977,Yagya Ratna Shakya,Sanskrit,Pracalita,Thyāsaphū,Manuscript,,,10cms,6cms,56,5,N/A,,,,,,
W1NPL100-I1NPL100,W1NPL100,I1NPL100,0100,Pūjāvidhi,,Pūjāvidhi,T977,Yagya Ratna Shakya,Sanskrit,Pracalita,Thyāsaphū,Manuscript,,,24 cms,11 cms,26,8,N/A,,,,,,
W1NPL105-I1NPL105,W1NPL105,I1NPL105,0101,Pūjāvidhi,,Pūjāvidhi,T977,Yagya Ratna Shakya,Nepal Bhasa,Pracalita,Thyāsaphū,Manuscript,,,24 cms,12 cms,20,7,N/A,,,,,,
W1NPL29-I1NPL29,W1NPL29,I1NPL29,0029,Pṛthvīvāsī devadevī stotra,,Stotra,T67,Yagya Ratna Shakya,Sanskrit,Devanagari,Yellow Paper,Manuscript,,,18cms,7cms,5,5,N/A,,,,,,
W1NPL101-I1NPL101,W1NPL101,I1NPL101,0101,Pravaryyāgrahaṇa viśvi māhaḥ,,Pūjāvidhi,T977,Yagya Ratna Shakya,Sanskrit,Pracalita,Thyāsaphū,Manuscript,,,24 cms,11 cms,24,6,N/A,,,,,,
W1NPL69-I1NPL69,W1NPL69,I1NPL69,0069,Prajñāpāramitā dhāraṇī stotra,,Pūjāvidhi,T977,Yagya Ratna Shakya,Sanskrit,Pracalita,Thyāsaphū,Manuscript,,,19.5 cms,11 cms,112,16,N/A,,,,,,
W1NPL5-I1NPL5,W1NPL5,I1NPL5,0005,Pañcarakṣā sūtra,,Sūtra,T769,Yagya Ratna Shakya,Sanskrit,Pracalita,Yellow Paper,Manuscript,NS 1101,1980 CE,24.8 cms,8 cms,74,6,T1946,,,,,,
W1NPL133-I1NPL133,W1NPL133,I1NPL133,0006,Pañcarakṣā sūtra,,Tantra and Stotra,T2129 & T67,Kiran Shakya,Sanskrit,Pracalita,Yellow Paper,Manuscript,,,8 cms,25 cms,18,5,N/A,,,,,,
W1NPL155-I1NPL155,W1NPL155,I1NPL155,0007,Pañcarakṣā,,Tantra,T2129,Kiran Shakya,Sanskrit,Pracalita,Yellow Paper,Manuscript,,,21.5 cms,7.5 cms,16,6,N/A,,,,,,
